port_id,region_id,name
492,11,Ramsey Sound
492a,11,Solva
492b,11,Little Haven
493,11,Martin's Haven
494,11,Skomer Island
495,11,Dale Roads
496,11,Milford Haven
497,11,Neyland
498,11,Black Tar
4a,10,Helford River (Entrance)
5,10,Falmouth
501,11,Stackpole Quay
502,11,Tenby
504,11,Ferryside
505,11,Burry Port
508,11,Mumbles
509,11,Swansea
51,8,Ventnor
510,11,Port Talbot
512,11,Porthcawl
513,11,Barry
513a,11,Flat Holm
513b,11,Steep Holm
514,11,Cardiff
515,11,Newport
517,12,Sudbrook
518,12,Beachley (Aust)
519,12,Inward Rocks
520,12,Narlwood Rocks
521,12,White House
522,12,Berkeley
522a,12,Sharpness Dock
522b,12,Wellhouse Rock
523,12,Port of Bristol (Avonmouth)
523a,12,Shirehampton
523b,12,Sea Mills
525,12,Clevedon
525a,12,St Thomas's Head
526,12,English And Welsh Grounds
527,12,Weston-Super-Mare
528,12,Burnham-On-Sea
53,8,Sandown
530,12,Hinkley Point
531,12,Watchet
532,12,Minehead
533,12,Porlock Bay
535,10,Ilfracombe
536,10,Appledore
537,10,Yelland Marsh
538,10,Fremington
539,10,Barnstaple
53a,8,Foreland (Lifeboat Slip)
54,8,Bembridge Harbour
540,10,Bideford
541,10,Clovelly
542,10,Lundy
544,10,Boscastle
544a,12,Port Isaac
545,10,Padstow
545a,10,Wadebridge
546,10,Newquay
546a,10,Perranporth
547,10,St Ives
547a,10,Cape Cornwall
58,8,Ryde
60,8,Cowes
60a,8,Folly Inn
61,8,Calshot Castle
62,8,Southampton
63,8,Redbridge
63a,8,Warsash
63b,8,Bursledon
64,8,Lee-On-The-Solent
65,8,Portsmouth
65a,8,Portsmouth (High Water Stand)
66,8,Langstone Harbour
68,8,Chichester Harbour (Entrance)
68a,8,Northney
68c,8,Itchenor
69,8,Selsey Bill
7,10,Mevagissey
70,8,Nab Tower
72,8,Pagham
73,8,Bognor Regis
74,8,Littlehampton
75,8,Worthing
7a,10,Par
8,10,Fowey
81,8,Shoreham
82,8,Brighton Marina
83,9,Newhaven
84,9,Eastbourne
84a,9,Sovereign Harbour
85,9,Hastings
87,9,Dungeness
88,9,Folkestone
89,9,Dover
98,9,Deal
99,9,Richborough
